En person eller en grupp utsätts för rasism	English_Translation	Process	Societal Construction	Differentiation	Hierarchization	Material Consequences	Process_Swedish	Societal Construction_Swedish	Differentiation_Swedish	Hierarchization_Swedish	Material Consequences_Swedish
Aggression	Aggression	0	0	0	0	0	0	0	0	0	0
Använder inte det ordet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Är osäker på betydelsen, men är det indelningen man gör för genetisk/kulturellt ursprung? 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att behndla någon annorlunda för sin ras 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att bestämma ras på människor. Ofta använt för diskriminering	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dämma pga hudfärg etnicitet 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dela in människor utefter fenotyp	Translation not available	0	0	0	0	0	0	0	0	0	0
Att dela in människor utifrån deras hudfärg och ge de olika värderingar, stereotyper	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dela upp människor beroende på hur de ser ut 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att dela upp och särbehandla personer baserat på hudfärg	Translation not available	0	0	0	0	0	5	0	7	0	0
Att det är möjligt att förändra	Translation not available	0	0	0	0	0	0	0	0	0	0
Att du dömmer någon baserat på utseende som är förknippated ett visst ursprung	Translation not available	0	0	0	0	0	0	0	0	0	0
Att ens utseende framkallar tankar på ett eller annat sätt om beteende	Translation not available	0	0	0	0	0	0	0	0	0	0
Att försöka problematisera ett problem till en grupp istället för att se individer och system.	Translation not available	0	0	0	0	0	5	0	0	0	0
Att förvänta sig vissa saker.fördomar.ta avstånd.	Translation not available	0	0	0	0	0	0	0	0	0	0
Att göra åtskillnad mellan människor på grund av en uppfattning om att vissa skulle vara mer eller mindre värda utifrån deras hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Att göra onödig skillnad på människor 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att ha fördömer om nån pga hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Att indela människor i grupper baserat på etnicitet	Translation not available	0	0	0	0	0	5	0	0	0	0
att indivder blir dömda utifrån enicitet, kultur och religion 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att kategorisera folk utefter hudfärg, etnicitet etc	Translation not available	0	0	0	0	0	0	0	7	0	0
Att kategorisera folk utifrån hudfärg. 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man antar att någon har en viss etnicitet och lägger värderingar i det 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att man av utomstående blir profilerad som icke-tillhörande, så även vita (som samer) kan bli rasifierade enligt mig	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man behandlar folk olika beroende på hudfärg/etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man behandlar personer olika beroende på deras härkomst/hudfärg 	Translation not available	0	0	0	0	0	5	0	7	0	0
