segment_id	seek	segment_start	segment_end	segment_text	tokens	temperature	avg_logprob	compression_ratio	no_speech_prob	segment_confidence	word_text	word_start	word_end	word_confidence
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	Vi	0.0	14.46	0.245
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	börjar	14.46	15.12	0.872
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	spela	15.12	15.68	0.908
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	in	15.68	16.22	0.88
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	nu	16.22	19.7	0.559
0	0	0.0	20.3	 Vi börjar spela in nu också.	[50364, 6626, 49534, 637, 4053, 294, 3822, 13312, 13, 51388]	0.0	-0.8339035511016846	0.7894736842105263	0.0240488201379776	0.642	också.	19.7	20.3	0.52
1	2048	22.78	28.96	 Då kan vi själva klicka.	[50364, 26339, 4608, 1932, 30700, 2757, 9671, 618, 64, 13, 50764]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.681	Då	22.78	26.7	0.201
1	2048	22.78	28.96	 Då kan vi själva klicka.	[50364, 26339, 4608, 1932, 30700, 2757, 9671, 618, 64, 13, 50764]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.681	kan	26.7	27.8	0.704
1	2048	22.78	28.96	 Då kan vi själva klicka.	[50364, 26339, 4608, 1932, 30700, 2757, 9671, 618, 64, 13, 50764]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.681	vi	27.8	27.96	0.872
1	2048	22.78	28.96	 Då kan vi själva klicka.	[50364, 26339, 4608, 1932, 30700, 2757, 9671, 618, 64, 13, 50764]	0.0	-0.6061922255016509	0.9090909090909091	0.08155301958322525	0.681	själva	27.96	28.42	0.917
